password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
27-Jun-25,7:28:31 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,281,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:33 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,281,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:35 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:37 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:39 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,281,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:41 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,281,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:43 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:45 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:47 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:49 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:51 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:54 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:56 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,280,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:28:58 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:00 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:02 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:04 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:06 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:08 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:10 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,279,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:12 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,278,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:14 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,278,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:17 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,278,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:19 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,278,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:21 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:23 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:25 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:27 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:29 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:31 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:33 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,277,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:35 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,276,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:37 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,276,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:39 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,276,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:41 PM,10,ON,30,0.42,0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,276,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:43 PM,10,ON,30,0.42,0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,276,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:45 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:47 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:49 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:51 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:53 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:55 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:29:57 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,275,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:00 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,273,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:02 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,273,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:04 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,274,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:06 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,274,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:08 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,273,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:10 PM,10,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,273,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:12 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,273,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
27-Jun-25,7:30:14 PM,10,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,273,200,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.12,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
