password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
15-Jul-25,11:45:22 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,138,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:27 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,138,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:32 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,137,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:37 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,137,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:42 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,137,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:47 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,137,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:52 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,136,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:45:57 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,137,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:02 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,136,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:07 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,136,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:12 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,136,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:17 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,135,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:22 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,136,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:27 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,135,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:32 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,135,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:37 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,134,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:42 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,135,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:47 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,134,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:52 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,133,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:46:57 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,132,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:02 AM,4,ON,30,0.42,0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,133,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:07 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,133,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:12 AM,4,ON,30,0.42,0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,133,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:17 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,133,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:22 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,132,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:27 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,132,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:32 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,131,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:37 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,131,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:42 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,132,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:47 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,131,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:52 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,131,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:47:57 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,130,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:02 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,130,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:07 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,131,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:12 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,130,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:17 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,130,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:22 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,129,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:27 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,128,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:32 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,129,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:37 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,128,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:42 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.36,0.00,0.05,0.00,-0.01,0.00,128,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:47 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,128,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:52 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,129,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:48:57 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,128,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:02 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,127,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:07 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,127,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:12 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,127,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:17 AM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,127,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:22 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,126,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:27 AM,4,ON,30,0.42,0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,125,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
15-Jul-25,11:49:32 AM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,126,30,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.83,0,Watts
